,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_impurity_decrease,param_n_estimators,param_n_jobs,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error
0,638.7353343009949,241.60952062449314,0.22106809616088868,0.004693237272358178,mae,5,0,10,-1,"{'criterion': 'mae', 'max_depth': 5, 'min_impurity_decrease': 0, 'n_estimators': 10, 'n_jobs': -1}",-11.981109107303876,-13.843490679494888,-12.754900781719781,-14.764732411304871,-14.853021647624773,-13.639351211592809,1.12370976949028,9,-305.23709122332434,-389.13677164762487,-351.8608253156945,-377.2051292844258,-376.5257689416717,-359.989824875233,29.94636153982113,9
1,3016.8591236114503,391.3351121548396,0.2178797721862793,0.006100589346868389,mae,5,0,30,-1,"{'criterion': 'mae', 'max_depth': 5, 'min_impurity_decrease': 0, 'n_estimators': 30, 'n_jobs': -1}",-11.46545436329025,-13.036359991982362,-12.660698536780918,-14.79331028262177,-15.008674082982564,-13.392783556811576,1.3379641224249423,8,-271.57144624787094,-354.6750167034142,-335.94617065878265,-379.8909398175988,-389.12430755996525,-346.23708638152317,41.773452184102155,7
2,5775.988439369202,981.4544487559987,0.2254016399383545,0.006123721682367115,mae,5,0,100,-1,"{'criterion': 'mae', 'max_depth': 5, 'min_impurity_decrease': 0, 'n_estimators': 100, 'n_jobs': -1}",-11.62822512774271,-13.123265183403488,-12.66114852675887,-14.635070655441972,-14.743105832832233,-13.358059046359209,1.1901869469366693,7,-284.16775166065526,-360.17943556825014,-338.8063563289236,-373.07138106584483,-375.19977967528564,-346.2812058354879,33.65095026154919,8
3,451.6002407550812,19.032004402383098,0.2136556625366211,0.00287606626179072,mae,5,0.1,10,-1,"{'criterion': 'mae', 'max_depth': 5, 'min_impurity_decrease': 0.1, 'n_estimators': 10, 'n_jobs': -1}",-12.671430718364892,-13.937913409500903,-13.260012026458206,-15.493445580276608,-15.389912808177993,-14.150453971499006,1.128337690084441,12,-328.42708972046887,-384.07734365604335,-360.7864747444377,-403.4328292242934,-400.92992558628987,-375.5279003066563,28.047343582693497,12
4,2325.558661270142,1179.968479159137,0.2155529499053955,0.0040573355660206735,mae,5,0.1,30,-1,"{'criterion': 'mae', 'max_depth': 5, 'min_impurity_decrease': 0.1, 'n_estimators': 30, 'n_jobs': -1}",-12.24733493637912,-13.357100621367007,-13.295850871918221,-15.27959510924033,-15.293550811785927,-13.894587417072533,1.2030414627439494,11,-306.8455013692683,-362.92610802097954,-367.0474899779515,-392.31414712367206,-406.8821356150197,-367.19944720034204,34.25518820758338,11
5,10451.181823968887,573.2805348637884,0.2232872486114502,0.002671868353103031,mae,5,0.1,100,-1,"{'criterion': 'mae', 'max_depth': 5, 'min_impurity_decrease': 0.1, 'n_estimators': 100, 'n_jobs': -1}",-12.084367297865946,-13.473269693325316,-13.167283523752253,-15.381369512928442,-15.061402585688514,-13.833433347363357,1.2277774129273127,10,-297.54728539224527,-363.6519615829826,-361.80529982711965,-396.94086810733614,-383.605513732712,-360.7063878269497,34.16756392388897,10
6,1396.6709725379944,229.09173890258697,0.21781601905822753,0.005698220555429188,mae,7,0,10,-1,"{'criterion': 'mae', 'max_depth': 7, 'min_impurity_decrease': 0, 'n_estimators': 10, 'n_jobs': -1}",-10.640471896603549,-11.642678893565844,-11.324338544798557,-13.116746843054718,-12.94116055321708,-11.933001623474235,0.953232122485396,2,-241.47776750826569,-293.08868084786525,-295.09916040288635,-327.82197985568246,-313.6990995189417,-294.23416526366424,29.301540847302057,2
7,3746.3166121959684,380.7069725297932,0.2217780590057373,0.004030762088954937,mae,7,0,30,-1,"{'criterion': 'mae', 'max_depth': 7, 'min_impurity_decrease': 0, 'n_estimators': 30, 'n_jobs': -1}",-10.835527502254282,-11.470720585287633,-11.390208458608939,-13.085437963519743,-12.907621767889356,-11.937836971118193,0.8933954125249026,3,-257.9442270313596,-290.22085830493756,-295.50936042627114,-325.0894857018775,-316.6331384880069,-297.0770608435385,23.44472292760874,3
8,10640.462204790116,1210.6145162744924,0.21477580070495605,0.0009903342993569538,mae,7,0,100,-1,"{'criterion': 'mae', 'max_depth': 7, 'min_impurity_decrease': 0, 'n_estimators': 100, 'n_jobs': -1}",-10.37514126840998,-11.587257967528563,-11.129965423932651,-12.942113650030066,-12.992333132892362,-11.805276291263302,1.0247599982771456,1,-233.5523508190562,-298.4315273150932,-273.10202173030666,-313.7985418971738,-318.3190842152736,-287.43746496001444,31.238246618969978,1
9,1892.451504087448,576.031020539434,0.21672253608703612,0.003936326682367408,mae,7,0.1,10,-1,"{'criterion': 'mae', 'max_depth': 7, 'min_impurity_decrease': 0.1, 'n_estimators': 10, 'n_jobs': -1}",-11.638412984670875,-12.952705953096812,-12.536800962116654,-14.7166416115454,-13.926683704149129,-13.15415789790151,1.073097491586696,6,-271.3840922753231,-337.10586139506916,-317.59903487672887,-386.46175811785935,-355.41301037282017,-333.58901088329026,38.49683528797115,6
10,1595.9928356647492,142.96170450766004,0.2116485595703125,0.002963569770654688,mae,7,0.1,30,-1,"{'criterion': 'mae', 'max_depth': 7, 'min_impurity_decrease': 0.1, 'n_estimators': 30, 'n_jobs': -1}",-11.629571185251978,-12.85647925435959,-12.7441020244538,-14.384591100420923,-13.891877129685307,-13.101235644278756,0.9618455794436257,5,-274.84246710416454,-330.7414621333601,-340.6926641110443,-362.53451869112047,-346.2680088695129,-331.0124465522885,29.9195565144801,5
11,4802.792106199265,1209.0307076979107,0.2308507442474365,0.008213470660090226,mae,7,0.1,100,-1,"{'criterion': 'mae', 'max_depth': 7, 'min_impurity_decrease': 0.1, 'n_estimators': 100, 'n_jobs': -1}",-11.595602645025549,-12.699433253156945,-12.355106734816594,-14.361271797955501,-13.987856283824414,-12.99976970717335,1.030315887524612,4,-268.9411496393147,-328.73017679645216,-315.74457067799153,-358.03870003006614,-350.55050873421527,-324.39768644699654,31.57653289414084,4
